Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,155,12999,4681,35224,64848,68283,3583,95923,0.000%,1.61541,93.01,0.51
/index.js,154,9139,4692,21438,31697,64250,948,68749,0.000%,1.58761,251.51,0.51
/index.css,153,2732,1918,5339,6455,10703,445,18072,0.000%,1.90381,365.86,0.61
/image3.jpg,153,17472,15439,33855,37304,42860,1588,50461,0.000%,1.89730,640.88,0.28
/image2.jpg,153,2425,1484,5601,6934,9106,408,13208,0.000%,2.23766,146.25,0.33
/image1.jpg,153,1945,1491,4017,4673,6922,401,7940,0.000%,2.39092,169.32,0.35
TOTAL,921,7798,3472,21087,32366,64848,401,95923,0.000%,9.08517,1334.06,2.12
