Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,310,2006,1736,3161,3371,3495,559,3852,0.323%,76.07362,48.92,30.90
Create Magazine,310,610,619,861,884,979,271,2021,0.000%,76.26076,49.45,26.51
Create Subscription,310,494,317,835,853,2338,258,5134,0.323%,40.49641,26.42,17.52
"Get Subscriptions ""/""",307,2819,738,3340,8058,35976,323,150536,0.977%,2.00819,3.51,0.60
"Get Subscriptions ""/index.css""",300,44964,31138,102843,147680,281283,992,298625,0.000%,1.00106,192.38,0.32
"Get Subscriptions ""/index.js""",300,4927,2086,11688,18416,35885,546,66233,0.000%,1.00949,159.93,0.32
"Get Subscriptions ""/subscriptions""",298,11276,3277,25431,37750,118934,694,264062,0.000%,1.00353,269.39,0.33
TOTAL,2135,9441,1462,23334,51521,145899,258,298625,0.234%,6.92844,604.62,2.43
