Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,310,748,759,887,941,989,341,1028,0.000%,175.73696,305.31,55.26
/index.js,304,42006,24055,125013,128089,231886,865,255425,0.000%,1.18840,188.27,0.38
/index.css,304,3935,2174,8798,12482,17978,426,22952,0.000%,1.18780,228.26,0.38
/image3.jpg,304,27302,19690,62428,68850,90347,1569,100976,0.000%,1.19393,403.30,0.18
/image2.jpg,304,2713,2089,5858,7465,11755,0,30945,2.961%,1.25138,79.45,0.18
/image1.jpg,295,2678,1697,5841,7855,13138,0,22855,0.339%,1.22192,86.26,0.18
TOTAL,1821,13241,2789,38559,63503,126505,0,255425,0.549%,6.99274,959.76,1.63
