Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,55,957,856,1195,1235,1265,468,1354,0.000%,30.03823,19.33,12.20
Create Magazine,55,718,712,733,836,849,320,910,0.000%,36.52058,23.68,12.70
Create Subscription,55,591,701,708,713,742,299,899,0.000%,32.75759,21.37,14.17
"Get Subscriptions ""/""",55,781,729,930,1011,1274,338,1392,0.000%,26.58289,45.92,8.00
"Get Subscriptions ""/index.css""",55,3626,3050,5375,8566,8799,913,9102,0.000%,5.65669,1087.06,1.81
"Get Subscriptions ""/index.js""",55,1270,1325,1836,2054,2514,342,3010,0.000%,5.59967,887.12,1.78
"Get Subscriptions ""/subscriptions""",55,1085,1005,1351,1757,3092,400,4888,0.000%,5.74113,97.20,1.88
TOTAL,385,1290,835,2495,4456,5845,299,9102,0.000%,22.74742,1206.26,7.97
