timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Filename,Latency,Encoding,SampleCount,ErrorCount,Hostname,IdleTime,Connect
1688346391622,564,/static,200,OK,Static 1-13,text,true,,1779,322,151,151,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,162,UTF-8,1,0,DESKTOP-JMD9GU4,0,133
1688346391622,162,/static-0,301,Moved Permanently,Static 1-13,text,true,,606,161,151,151,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,162,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,133
1688346391784,402,/static-1,200,OK,Static 1-13,text,true,,1173,161,151,151,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,402,UTF-8,1,0,DESKTOP-JMD9GU4,0,127
1688346392119,346,/static,200,OK,Static 1-130,text,true,,1779,322,256,256,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,48,UTF-8,1,0,DESKTOP-JMD9GU4,0,25
1688346392119,48,/static-0,301,Moved Permanently,Static 1-130,text,true,,606,161,256,256,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,48,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,25
1688346392167,298,/static-1,200,OK,Static 1-130,text,true,,1173,161,256,256,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,298,UTF-8,1,0,DESKTOP-JMD9GU4,0,58
1688346391698,833,/static,200,OK,Static 1-37,text,true,,1779,322,263,263,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,81,UTF-8,1,0,DESKTOP-JMD9GU4,0,56
1688346391698,81,/static-0,301,Moved Permanently,Static 1-37,text,true,,606,161,263,263,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,81,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,56
1688346391779,752,/static-1,200,OK,Static 1-37,text,true,,1173,161,263,263,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,752,UTF-8,1,0,DESKTOP-JMD9GU4,0,113
1688346391649,884,/static,200,OK,Static 1-22,text,true,,1779,322,263,263,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,135,UTF-8,1,0,DESKTOP-JMD9GU4,0,106
1688346391649,135,/static-0,301,Moved Permanently,Static 1-22,text,true,,606,161,263,263,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,135,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,106
1688346391785,748,/static-1,200,OK,Static 1-22,text,true,,1173,161,263,263,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,748,UTF-8,1,0,DESKTOP-JMD9GU4,0,112
1688346391702,834,/static,200,OK,Static 1-38,text,true,,1779,322,263,263,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,71,UTF-8,1,0,DESKTOP-JMD9GU4,0,48
1688346391702,71,/static-0,301,Moved Permanently,Static 1-38,text,true,,606,161,263,263,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,71,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,48
1688346391773,763,/static-1,200,OK,Static 1-38,text,true,,1173,161,263,263,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,763,UTF-8,1,0,DESKTOP-JMD9GU4,0,119
1688346391675,862,/static,200,OK,Static 1-30,text,true,,1779,322,263,263,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,101,UTF-8,1,0,DESKTOP-JMD9GU4,0,79
1688346391675,101,/static-0,301,Moved Permanently,Static 1-30,text,true,,606,161,263,263,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,101,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,79
1688346391776,761,/static-1,200,OK,Static 1-30,text,true,,1173,161,263,263,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,761,UTF-8,1,0,DESKTOP-JMD9GU4,0,116
1688346391623,916,/static,200,OK,Static 1-14,text,true,,1779,322,263,263,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,157,UTF-8,1,0,DESKTOP-JMD9GU4,0,131
1688346391623,157,/static-0,301,Moved Permanently,Static 1-14,text,true,,606,161,263,263,http://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,157,ISO-8859-1,1,0,DESKTOP-JMD9GU4,0,131
1688346391780,759,/static-1,200,OK,Static 1-14,text,true,,1173,161,263,263,https://cd78b1x0cc.execute-api.us-east-1.amazonaws.com/dev/static,,759,UTF-8,1,0,DESKTOP-JMD9GU4,0,123
