Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,55,847,835,1130,1198,1254,432,1256,0.000%,30.64067,19.72,12.45
Create Magazine,55,630,711,721,733,767,305,776,0.000%,32.39105,21.00,11.26
Create Subscription,55,559,700,715,731,757,298,894,0.000%,26.34100,17.18,11.40
"Get Subscriptions ""/""",55,688,728,736,789,826,330,1033,0.000%,26.11586,45.12,7.86
"Get Subscriptions ""/index.css""",55,3534,3148,5178,5333,8863,1287,9217,0.000%,5.52875,1062.48,1.77
"Get Subscriptions ""/index.js""",55,1273,1308,1638,2113,3471,385,4557,0.000%,5.68123,900.04,1.81
"Get Subscriptions ""/subscriptions""",55,943,1001,1109,1277,1370,397,1439,0.000%,5.50992,93.29,1.81
TOTAL,385,1211,757,2197,4668,5327,298,9217,0.000%,23.35032,1238.23,8.19
