Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,155,751,734,807,869,901,331,6675,0.000%,20.94595,53.69,6.59
/index.js,151,16313,9448,50889,61710,62435,870,81270,0.000%,1.84439,292.19,0.59
/index.css,151,2706,1751,4638,6319,10445,556,31985,0.000%,1.83730,353.08,0.59
/image3.jpg,151,15266,15257,29176,33097,38098,1585,49574,0.000%,1.83971,621.43,0.27
/image2.jpg,151,1794,1597,3561,4139,5081,0,7067,0.662%,2.11414,137.30,0.31
/image1.jpg,150,1952,1482,4021,4920,10100,402,11104,0.000%,2.12854,150.74,0.31
TOTAL,909,6444,1953,18506,29046,61687,0,81270,0.110%,10.52242,1444.34,2.45
