Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,310,803,755,1029,1088,1121,347,1129,0.000%,175.63739,192.79,54.89
TOTAL,310,803,755,1029,1088,1121,347,1129,0.000%,175.63739,192.79,54.89
