Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,160,3175,3010,4059,4214,4263,2099,4306,0.000%,37.14883,23.91,15.09
Create Magazine,160,580,667,819,834,875,271,887,0.000%,64.85610,42.06,22.55
Create Subscription,160,475,315,668,681,848,262,850,0.000%,60.42296,39.42,26.14
"Get Subscriptions ""/""",160,1139,917,1214,1591,3886,690,23710,0.000%,6.13426,10.60,1.85
"Get Subscriptions ""/index.css""",160,11185,10327,20668,24460,26132,810,27487,0.000%,5.60440,1077.01,1.80
"Get Subscriptions ""/index.js""",160,5320,5014,8838,10182,16201,718,31413,0.000%,4.05608,642.58,1.29
"Get Subscriptions ""/subscriptions""",160,1639,1287,3018,4211,5433,384,16516,0.000%,4.30142,397.87,1.41
TOTAL,1120,3359,1214,9025,13276,24189,262,31413,0.000%,23.42753,1495.23,8.21
