Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,55,720,735,742,743,748,340,750,0.000%,31.75520,55.17,9.99
/index.js,55,3950,2905,5774,8845,16521,1261,16611,0.000%,3.24714,514.42,1.03
/index.css,55,2016,1501,3390,5300,7019,547,9888,0.000%,3.23910,622.47,1.04
/image3.jpg,55,7393,6385,13449,13827,14712,1695,19858,0.000%,2.73251,923.00,0.40
/image2.jpg,55,830,791,1247,1438,2281,403,2383,0.000%,3.56772,233.18,0.53
/image1.jpg,55,830,798,1081,1594,1927,403,2011,0.000%,3.55688,251.89,0.52
TOTAL,330,2623,1220,6634,10714,16468,340,19858,0.000%,13.41736,1847.78,3.12
