Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,160,703,741,782,864,955,338,963,0.000%,86.43976,55.63,35.12
Create Magazine,160,563,655,676,706,842,267,886,0.000%,76.66507,49.71,26.65
Create Subscription,160,427,275,651,656,841,260,847,0.000%,80.60453,52.58,34.87
"Get Subscriptions ""/""",160,668,726,733,736,755,326,762,0.000%,69.53498,120.12,20.91
"Get Subscriptions ""/index.css""",154,12568,10154,22907,33143,35910,888,55276,0.000%,2.73900,526.36,0.88
"Get Subscriptions ""/index.js""",150,1969,1475,3473,4420,8013,484,16830,0.000%,3.77634,598.26,1.20
"Get Subscriptions ""/subscriptions""",150,1628,1116,3026,4728,8559,355,8714,0.000%,3.91492,183.50,1.28
TOTAL,1094,2608,735,6830,16184,32408,260,55276,0.000%,18.33356,1021.86,6.44
