Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,309,3197,779,941,2473,122185,345,126378,0.000%,2.42707,12.47,0.76
/index.js,302,33773,19132,85554,125024,131904,866,187149,0.000%,1.61002,255.06,0.51
/index.css,301,5428,2210,12875,17629,34690,409,102419,0.000%,1.69616,325.96,0.54
/image3.jpg,300,28880,21570,62965,71452,88187,1575,153424,0.000%,1.79626,606.75,0.26
/image2.jpg,300,3124,1899,6169,8189,15609,400,60525,0.000%,1.95917,128.05,0.29
/image1.jpg,300,2635,1855,5905,7859,11271,400,18256,0.000%,2.04205,144.62,0.30
TOTAL,1812,12811,2792,37399,62812,125024,345,187149,0.000%,9.63348,1326.28,2.25
