Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,50,767,738,897,952,1027,395,1027,0.000%,28.44141,31.22,8.89
TOTAL,50,767,738,897,952,1027,395,1027,0.000%,28.44141,31.22,8.89
