Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
batch,150,695,734,746,750,784,338,788,0.000%,86.30610,94.73,26.97
TOTAL,150,695,734,746,750,784,338,788,0.000%,86.30610,94.73,26.97
