Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
/static,55,704,735,740,745,749,331,998,0.000%,32.06997,55.72,10.08
/index.js,55,4180,2863,8816,8891,8968,874,29228,0.000%,1.85335,293.61,0.59
/index.css,54,1890,1560,2696,2999,4746,508,10214,0.000%,3.30842,635.79,1.06
/image3.jpg,54,7660,7907,12770,12842,14323,1766,15380,0.000%,2.90964,982.83,0.43
/image2.jpg,54,985,944,1409,1896,2322,405,2671,0.000%,4.06473,265.67,0.60
/image1.jpg,54,880,832,1284,1403,1690,405,1916,0.000%,4.12119,291.85,0.61
TOTAL,326,2715,1266,8491,10045,13762,331,29228,0.000%,10.73923,1475.16,2.50
