Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Create User,310,2520,2969,3746,3839,3933,444,4447,0.000%,66.91129,43.06,27.18
Create Magazine,310,614,479,872,954,1224,309,1360,0.000%,64.08931,41.56,22.28
Create Subscription,310,721,610,1199,1479,2464,297,18945,0.000%,14.49343,9.45,6.27
"Get Subscriptions ""/""",307,4534,817,5214,16222,150119,414,151136,2.606%,1.98256,3.52,0.59
"Get Subscriptions ""/index.css""",301,28726,16329,65116,109305,231670,1349,281863,0.000%,1.06702,205.05,0.34
"Get Subscriptions ""/index.js""",301,6361,3407,13679,18795,33965,472,240198,0.000%,1.07251,169.91,0.34
"Get Subscriptions ""/subscriptions""",301,3757,1538,5947,9673,32981,426,153781,0.000%,1.08533,97.30,0.36
TOTAL,2140,6672,1364,14521,31420,109717,297,281863,0.374%,7.39236,461.71,2.59
